site_id,records,ground_truth_anomalies,if_flags,ground_truth_rate,if_flag_rate
S01,313,10,28,0.03194888178913738,0.08945686900958466
S02,308,15,27,0.048701298701298704,0.08766233766233766
S03,317,11,16,0.03470031545741325,0.050473186119873815
S04,255,17,20,0.06666666666666667,0.0784313725490196
S05,299,13,18,0.043478260869565216,0.06020066889632107
S06,333,18,21,0.05405405405405406,0.06306306306306306
S07,291,22,31,0.07560137457044673,0.10652920962199312
S08,358,23,39,0.06424581005586592,0.10893854748603352
S09,237,11,15,0.046413502109704644,0.06329113924050633
S10,289,10,25,0.03460207612456748,0.08650519031141868
