rule_id,rule_flag_column,category,records_flagged,true_positives,false_positives,false_negatives,precision,recall
R01,R01_missing_required_lab,Missing-data,36,36,0,114,1.0,0.24
R02,R02_ALT_extreme,Laboratory-value,0,0,0,150,0.0,0.0
R03,R03_AST_extreme,Laboratory-value,0,0,0,150,0.0,0.0
R04,R04_hemoglobin_extreme,Laboratory-value,0,0,0,150,0.0,0.0
R05,R05_creatinine_extreme,Laboratory-value,0,0,0,150,0.0,0.0
R06,R06_entry_before_visit,Date/timeliness,30,30,0,120,1.0,0.2
R07,R07_excessive_entry_delay,Date/timeliness,22,22,0,128,1.0,0.14666666666666667
R08,R08_invalid_visit_number,Visit-sequence,0,0,0,150,0.0,0.0
R09,R09_duplicate_composite,Duplicate detection,24,12,12,138,0.5,0.08
R10,R10_delay_date_mismatch,Cross-field consistency,0,0,0,150,0.0,0.0
R11,R11_joint_ALT_AST_high,Cross-field consistency,0,0,0,150,0.0,0.0
