record_id,ground_truth_category,split
R00001,normal,evaluation
R00002,normal,train
R00003,normal,evaluation
R00004,normal,evaluation
R00005,normal,train
R00006,normal,train
R00007,normal,evaluation
R00008,normal,train
R00009,normal,train
R00010,normal,train
R00011,normal,evaluation
R00012,normal,evaluation
R00013,normal,train
R00014,normal,train
R00015,normal,train
R00016,normal,train
R00017,normal,train
R00018,normal,evaluation
R00019,normal,train
R00020,normal,train
R00021,normal,train
R00022,normal,train
R00023,normal,train
R00024,normal,train
R00025,normal,train
R00026,normal,train
R00027,normal,train
R00028,normal,train
R00029,normal,train
R00030,normal,train
R00031,normal,train
R00032,normal,train
R00033,normal,evaluation
R00034,normal,train
R00035,normal,evaluation
R00036,normal,evaluation
R00037,normal,train
R00038,normal,train
R00039,normal,train
R00040,normal,train
R00041,normal,train
R00042,normal,train
R00043,normal,train
R00044,normal,evaluation
R00045,normal,train
R00046,normal,train
R00047,normal,train
R00048,normal,evaluation
R00049,normal,train
R00050,normal,train
R00051,normal,train
R00052,normal,evaluation
R00053,normal,train
R00054,normal,train
R00055,normal,train
R00056,normal,train
R00057,normal,train
R00058,normal,train
R00059,normal,train
R00060,ml_multivariate,train
R00061,normal,train
R00062,normal,train
R00063,normal,train
R00064,normal,train
R00065,normal,train
R00066,normal,train
R00067,rule_detectable,train
R00068,normal,evaluation
R00069,normal,train
R00070,normal,train
R00071,normal,evaluation
R00072,normal,train
R00073,normal,train
R00074,normal,train
R00075,normal,train
R00076,normal,train
R00077,normal,evaluation
R00078,normal,train
R00079,normal,train
R00080,normal,train
R00081,normal,train
R00082,normal,train
R00083,normal,train
R00084,normal,train
R00085,normal,train
R00086,normal,train
R00087,normal,train
R00088,normal,train
R00089,normal,evaluation
R00090,normal,train
R00091,normal,train
R00092,normal,evaluation
R00093,normal,train
R00094,normal,evaluation
R00095,normal,train
R00096,normal,train
R00097,normal,evaluation
R00098,normal,train
R00099,normal,evaluation
R00100,normal,train
R00101,normal,train
R00102,normal,train
R00103,normal,train
R00104,normal,train
R00105,normal,train
R00106,normal,evaluation
R00107,rule_detectable,train
R00108,normal,train
R00109,normal,train
R00110,normal,train
R00111,normal,train
R00112,normal,evaluation
R00113,rule_detectable,train
R00114,normal,train
R00115,normal,train
R00116,normal,train
R00117,normal,evaluation
R00118,normal,evaluation
R00119,normal,train
R00120,normal,train
R00121,normal,train
R00122,normal,train
R00123,normal,train
R00124,normal,train
R00125,normal,train
R00126,normal,train
R00127,normal,train
R00128,normal,train
R00129,both_detectable,evaluation
R00130,normal,train
R00131,normal,train
R00132,normal,train
R00133,normal,train
R00134,normal,train
R00135,normal,train
R00136,normal,train
R00137,normal,train
R00138,normal,train
R00139,normal,train
R00140,normal,train
R00141,normal,train
R00142,normal,train
R00143,normal,train
R00144,normal,train
R00145,normal,evaluation
R00146,normal,train
R00147,normal,train
R00148,normal,train
R00149,normal,train
R00150,normal,train
R00151,normal,evaluation
R00152,normal,train
R00153,normal,train
R00154,normal,train
R00155,rule_detectable,train
R00156,normal,train
R00157,normal,train
R00158,normal,train
R00159,normal,train
R00160,rule_detectable,train
R00161,normal,train
R00162,normal,train
R00163,normal,evaluation
R00164,normal,train
R00165,normal,train
R00166,normal,evaluation
R00167,normal,train
R00168,normal,train
R00169,normal,train
R00170,normal,evaluation
R00171,normal,train
R00172,normal,train
R00173,normal,evaluation
R00174,normal,train
R00175,normal,evaluation
R00176,normal,train
R00177,normal,train
R00178,normal,train
R00179,normal,train
R00180,normal,evaluation
R00181,normal,train
R00182,normal,evaluation
R00183,normal,evaluation
R00184,normal,train
